Food bought - units,Housing bought - units,Resources bought - units,Resources bought - Farm1 - units,Resources bought - Builder1 - units
180000.0,0.0,2245.454545454545,0.0,2245.454545454545
180724.73367655705,3.0,1136.3636363636365,0.0,1136.3636363636365
180724.73367655705,3.0,1181.818181818182,0.0,1181.818181818182
182182.96676008368,2.0,3113.636363636364,1886.363636363636,1227.2727272727277
182916.4897117843,3.0,5022.727272727272,3636.363636363635,1386.363636363637
182916.4897117843,2.0,5272.727272727274,3818.18181818182,1454.545454545454
184392.4076528097,3.0,5636.363636363637,4113.636363636364,1522.727272727273
185134.82647240657,2.0,5909.090909090909,4318.181818181818,1590.909090909091
185880.23449156267,3.0,6295.454545454548,4636.363636363638,1659.0909090909097
186628.6437456869,3.0,6704.545454545452,4863.636363636362,1840.90909090909
187380.06631864616,2.0,7136.363636363638,5204.545454545456,1931.818181818182
188134.5143429607,3.0,7590.909090909089,5568.181818181816,2022.727272727273
188891.99999999985,2.0,7704.545454545456,5954.545454545456,1750.0
189652.53552017885,3.0,8113.636363636364,6363.636363636364,1750.0
190416.1331831561,3.0,5090.909090909092,5090.909090909092,0.0
191182.8053180317,2.0,1409.090909090909,0.0,1409.090909090909
191952.5643035463,3.0,1250.0,0.0,1250.0
192725.4225682811,3.0,1113.6363636363635,0.0,1113.6363636363635
193501.39259085845,2.0,0.0,0.0,0.0
194280.48690014333,3.0,12613.63636363636,11727.272727272724,886.3636363636364
195062.7180754458,3.0,5772.727272727276,5772.727272727276,0.0
195848.09874672373,3.0,4636.363636363638,4636.363636363638,0.0
196636.6415947872,2.0,4863.636363636362,4863.636363636362,0.0
196636.6415947872,3.0,613.6363636363636,0.0,613.6363636363636
198223.2647999997,3.0,545.4545454545455,0.0,545.4545454545455
199021.3707748756,3.0,704.5454545454538,0.0,704.5454545454538
199822.6901624039,2.0,11227.272727272732,10636.36363636364,590.909090909091
200627.23590074235,3.0,10090.909090909086,9477.272727272722,613.6363636363637
201435.02098014136,3.0,5909.090909090912,5272.727272727276,636.3636363636365
202246.05844315403,3.0,6295.4545454545405,5636.363636363632,659.0909090909086
203060.3613848468,3.0,6704.545454545458,6022.727272727276,681.818181818182
203877.94295301032,3.0,7136.363636363634,6431.81818181818,704.5454545454545
204698.8163483727,3.0,7590.909090909092,6863.636363636364,727.2727272727275
205522.99482481176,3.0,8068.18181818182,7318.18181818182,750.0
206350.49168956955,3.0,6636.363636363636,5863.636363636364,772.7272727272723
207181.32030346696,3.0,6772.727272727273,5863.636363636364,909.0909090909092
208015.4940811196,3.0,3863.636363636363,2909.090909090908,954.545454545455
208853.02649115428,3.0,3545.454545454544,2545.454545454544,999.9999999999995
209693.9310564265,3.0,3386.3636363636374,2340.909090909092,1045.4545454545455
210538.2213542389,3.0,3181.81818181818,2090.90909090909,1090.9090909090903
211385.91101656025,3.0,6204.545454545454,5068.181818181818,1136.3636363636365
212237.01373024576,3.0,6500.0,5318.181818181818,1181.818181818182
213091.54323725804,3.0,6909.090909090912,5681.818181818184,1227.2727272727277
213949.5133348889,3.0,7454.545454545453,6068.181818181816,1386.363636363637
214810.93787598217,3.0,7931.818181818186,6477.272727272732,1454.545454545454
215675.83076915733,3.0,8431.818181818177,6909.0909090909045,1522.727272727273
216544.20597903413,3.0,8954.545454545456,7363.636363636364,1590.909090909091
217416.0775264581,3.0,9499.999999999998,7840.909090909088,1659.0909090909097
218291.4594887268,3.0,10181.818181818186,8340.909090909096,1840.90909090909
219170.36599981718,3.0,10340.909090909088,8863.63636363636,1477.272727272727
